"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL454487";"";"None";"236.27";"0";"3.42";"11";"O=C(Nc1ccccc1)c1cc2ccccc2[nH]1";"Ki";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"28.10";"0.50";"3.22";"14.79";"0";"CHEMBL988018";"Inhibition of bovine brain mitochondrial MAO-B by fluorometric assay";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1142552";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL3350682";"";"None";"215.34";"0";"3.45";"5 (RS)";"CC=C=CCN(C)C[C@@H](C)c1ccccc1";"Ki";"'='";"690000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL729339";"In vitro inhibition of bovine monoamine oxidase B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL522";"BENZYLAMINE";"None";"107.16";"0";"1.15";"benzylamine";"NCc1ccccc1";"TN";"'='";"283.0";"M min-1 M-1";"";"";"";"";"";"";"";"";"0";"CHEMBL709704";"Turnover number (TN) for bovine mono-amine oxidase B MAO-B";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127689";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";""
"CHEMBL303817";"";"None";"302.33";"0";"2.89";"3";"CN1CC=C(c2c[nH]c3ccccc23)CC1.O=C(O)C(=O)O";"Vmax";"'='";"358.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL732520";"Tested for maximum velocity of monoamine oxidase B catalyzed oxidation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1130072";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL58842";"";"None";"249.36";"0";"4.09";"30";"C1=C(c2ccc3ccccc3c2)CCN(C2CC2)C1";"K inact";"'='";"0.12";"";"";"";"";"";"";"";"";"";"0";"CHEMBL730190";"Tested for inactivation rate against monoamine oxidase B catalyzed oxidation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1130072";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL45868";"";"None";"163.26";"0";"2.23";"11";"CNCCCCc1ccccc1";"Km";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL715871";"Michaelis-Menten constant was determined for Monoamine oxidase-B from Bovine liver; Not determined";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127022";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL301452";"";"None";"162.24";"0";"1.66";"21";"CN1CC=C(n2cccc2)CC1";"Ratio";"'='";"410.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL732516";"Ratio of Kcat versus Km was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132216";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";""
"CHEMBL344189";"";"None";"173.26";"0";"1.33";"3";"CCCCCNCC(=O)OCC";"Ki";"'='";"14220000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL857621";"Kinetic constant (KI) was calculated by inhibition of monoamino oxidase B (MAO B)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1126593";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL59219";"";"None";"275.39";"0";"4.61";"27";"C1=C(c2cccc(-c3ccccc3)c2)CCN(C2CC2)C1";"Ki";"'='";"0.44";"";"";"";"";"";"";"";"";"";"0";"CHEMBL728528";"Tested for inhibition- binding affinity against monoamine oxidase B catalyzed oxidation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1130072";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL287749";"";"None";"111.19";"0";"1.28";"1 (R)";"CC=C=CCN(C)C";"k2";"'='";"0.22";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL729341";"Kinetic parameter for the time dependent inhibition of Bovine liver Monoamine Oxidase B at 25 degrees C (pH= 7.4).";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
