query,target,Similarity
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,1.0
CC(Nc1ccccc1F)=C1C(=O)NC(=O)NC1=O,CC(Nc1cccc(C(=O)O)c1)=C1C(=O)NC(=O)NC1=O,0.6971830985915493
CCCNC(=O)NCc1cccc(S(=O)(=O)NC)c1,NCc1cccc(S(=O)(=O)NCC(F)(F)F)c1,0.6512096774193549
O=C(O)CNS(=O)(=O)Cc1c(F)cccc1F,CCOC(=O)CNS(=O)(=O)Cc1ccccc1,0.6244239631336406
O=C1CC[C@H](C(=O)NCCc2ccc3c(c2)OCO3)N1,CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,0.6149825783972126
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,0.6056563500533618
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,0.6056563500533618
O=c1[nH]c(O)c(Cc2ccc3c(c2)OCO3)c(=O)[nH]1,CC(=O)C[C@H](c1ccccc1)c1c(O)[nH]c(=O)[nH]c1=O,0.5756256800870512
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.5619302949061662
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.5619302949061662
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.5171171171171172
O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,NCc1cccc(S(=O)(=O)NCC(F)(F)F)c1,0.502495840266223
O=C1CC[C@H](C(=O)NCCc2ccc3c(c2)OCO3)N1,O=C1CC[C@H](C(=O)NCCOc2ccc(F)cc2)N1,0.5
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,O=C1COc2ccc(NC(=O)c3cccc[n+]3[O-])cc2N1,0.4883720930232558
NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,O=C(CNC(=O)c1ccc(=O)[nH]c1)NCc1ccco1,0.48194271481942713
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.480865224625624
C[C@]1(C(=O)Nc2ccc3c(c2)CCN3)CNCCO1,Cc1cccc(NC(=O)CCNC(=O)[C@@H]2COCCO2)c1,0.4797297297297297
O=C(COC(=O)c1ccc(O)cc1)NC[C@@H]1CCCO1,NC(=O)NC(=O)COC(=O)c1cc(Cl)ccc1O,0.4795417348608838
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,C[S@@](=O)CCNC(=O)NCc1ccc2c(c1)OCO2,0.4772727272727273
COC(=O)CNC(=O)c1coc2ccccc2c1=O,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.47041707080504364
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,0.45951417004048584
Cc1cccc(NC(=O)CCNC(=O)[C@@H]2COCCO2)c1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.4591280653950954
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,0.4552238805970149
CCOC(=O)c1cc(C(=O)OCC)c(=O)[nH]c1NN,CCOC(=O)[C@H](C)OC(=O)c1c(C)cc[nH]c1=O,0.455005055611729
CNC(=O)c1ccc(CN[C@@H]2CCCS(=O)(=O)C2)cc1,O=C(N[C@H]1CCS(=O)(=O)C1)c1cccc2c1COC2,0.45300261096605743
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,0.4498094027954257
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.44847112117780297
CCCNC(=O)NCc1cccc(S(=O)(=O)NC)c1,O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,0.44838212634822805
CCc1noc(CCNC(=O)Cc2cc(C)no2)n1,CCc1noc(CCNC(=O)[C@]2(C)CCCO2)n1,0.4461118690313779
COC(=O)c1ccccc1NC(=O)[C@H]1CCS(=O)(=O)C1,COC(=O)CC(=O)Nc1ccccc1C(=O)N(C)C,0.4396248534583822
O=C(O)CCC(=O)NCc1ccc(C(=O)O)cc1,CC1=NNC(=O)[C@@H]1CCNC(=O)c1ccc(C(=O)O)cc1,0.4295652173913043
O[C@@H]1[C@H]2O[C@@H]3O[C@@H]([C@@H]2OCc2ccccc2)[C@]2(CO2)[C@@H]1O3,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,0.42311770943796395
O=C(CNC(=O)c1ccc2n[nH]cc2c1)NCC(F)F,COC(=O)C(C)(C)NC(=O)CNC(=O)c1ccc(F)cc1,0.4165390505359878
COC(=O)[C@H](COCc1ccccc1)NC(=O)C(C)(C)N,COC(=O)C(C)(C)NC(=O)CNC(=O)c1ccc(F)cc1,0.41585760517799353
O=C(NCCc1nc(Cc2ccccc2)no1)[C@H]1C=CCN1,CCc1noc(CCNC(=O)[C@]2(C)CCCO2)n1,0.415
O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,CN(CC(=O)O)S(=O)(=O)c1ccc2c(c1)OCO2,0.4143222506393862
C[C@]1(C(=O)Nc2ccc3c(c2)CCN3)CNCCO1,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,0.41323210412147504
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,0.4099895941727367
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,0.4072249589490969
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,0.4072249589490969
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,COC(=O)C(C)(C)NC(=O)CNC(=O)c1ccc(F)cc1,0.4064516129032258
C[C@]1(C(=O)Nc2ccc3c(c2)CCN3)CNCCO1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.4055299539170507
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(N[C@]1(CCO)CCOC1)c1nc[nH]c2nccc1-2,0.40499457111834963
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(N[C@]1(CCO)CCOC1)c1nc[nH]c2nccc1-2,0.40499457111834963
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,O=C(Nc1nnc[nH]1)c1c[nH]c(=O)c2ccccc12,0.40200546946216953
CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,0.4
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.3997395833333333
O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,0.3990990990990991
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,0.3982589771490751
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,0.3982589771490751
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,0.39737582005623245
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,0.3970507919169853
