,epoch,preds,mode
0,1,-2.2221496,valid
1,1,-1.7448636,valid
2,1,-2.4212053,valid
3,1,-2.4521568,valid
4,1,-2.204693,valid
5,1,-2.3840044,valid
6,1,-2.3024697,valid
7,1,-2.616474,valid
8,1,-1.741495,valid
9,1,-2.902047,valid
10,1,-2.8915775,valid
11,1,-3.4148366,valid
12,1,-2.9560885,valid
13,1,-3.5159323,valid
14,1,-1.0732266,valid
15,1,-3.892332,valid
16,1,-2.7756622,valid
17,1,1.5833925,valid
18,1,-1.5575161,valid
19,1,-3.2526708,valid
20,1,0.113542035,valid
21,1,1.0935605,valid
22,1,-5.12042,valid
23,1,-2.0387425,valid
24,1,-1.101892,valid
25,1,-1.7339079,valid
26,1,-1.213709,valid
27,1,-1.2014802,valid
28,1,-1.7627984,valid
29,1,-1.2780123,valid
30,1,-0.38003755,valid
31,1,0.1503211,valid
32,1,-2.7788484,valid
33,1,-1.1244366,valid
34,1,-1.6168213,valid
35,1,-4.0140367,valid
36,1,-1.0071462,valid
37,1,-2.18695,valid
38,1,-3.5007432,valid
39,1,-2.4748118,valid
40,1,-2.349619,valid
41,1,-1.1131157,valid
42,1,-1.8318881,valid
43,1,0.980795,valid
44,1,-4.752354,valid
45,1,-3.298688,valid
46,1,-2.4994237,valid
47,1,1.0951806,valid
48,1,-2.7756622,valid
49,1,-6.1052566,valid
50,1,-3.295943,valid
51,1,-1.6899357,valid
52,1,-1.1654432,valid
53,1,-0.6828409,valid
54,1,-2.7176175,valid
55,1,-5.3288026,valid
56,1,-2.0555098,valid
57,1,-3.358349,valid
58,1,-0.20653357,valid
59,1,-0.9740173,valid
60,1,-1.2947707,valid
61,1,-3.21464,valid
62,1,-3.368015,valid
63,1,-1.5961562,valid
64,1,-2.6491435,valid
65,1,-2.5492175,valid
66,1,-3.3875506,valid
67,1,-3.7944596,valid
68,1,-1.5708913,valid
69,1,-1.6152992,valid
70,1,-0.98201525,valid
71,1,-2.2472281,valid
72,1,-2.4790103,valid
73,1,0.625771,valid
74,1,-2.711117,valid
75,1,-2.313325,valid
76,1,-3.2167864,valid
77,1,-0.4508971,valid
78,1,-3.376621,valid
79,1,-2.2982545,valid
80,1,-2.8925474,valid
81,1,-1.8025383,valid
82,1,-2.4004118,valid
83,1,-4.764312,valid
84,1,-1.6813791,valid
85,1,-1.5233421,valid
86,1,-4.894903,valid
87,1,-1.4105464,valid
88,1,-1.8130016,valid
89,1,-2.1705077,valid
90,1,-2.4738548,valid
91,1,-1.9223073,valid
92,1,-2.1356847,valid
93,1,-3.2330751,valid
94,1,-0.98492813,valid
95,1,-1.0292611,valid
96,1,-4.880206,valid
97,1,-2.4385438,valid
98,1,-0.12720059,valid
99,1,-2.5918524,valid
100,1,0.7445439,valid
101,1,-0.8686776,valid
102,1,-3.8905916,valid
103,1,-2.5611427,valid
104,1,-2.8524528,valid
105,1,-2.2899144,valid
106,1,-2.1988738,valid
107,1,-1.5764375,valid
108,1,-3.4508402,valid
109,1,-6.6649733,valid
110,1,-1.8819804,valid
111,1,-2.9192266,valid
112,1,1.6000186,valid
113,1,-3.4643757,valid
114,1,-2.8536675,valid
115,1,-1.9416673,valid
116,1,-1.1160991,valid
117,1,-1.4408606,valid
118,1,0.5827818,valid
119,1,1.187674,valid
120,1,-1.4007463,valid
121,1,-1.719555,valid
122,1,0.96519876,valid
123,1,-6.2467747,valid
124,1,-3.838185,valid
125,1,0.35695872,valid
126,1,-3.4850075,valid
127,1,-3.4205592,valid
128,1,-2.8309247,valid
129,1,0.32557034,valid
130,1,-0.6698489,valid
131,1,-3.7042127,valid
132,1,-4.796745,valid
133,1,-2.9597151,valid
134,1,-2.054274,valid
135,1,-3.1913114,valid
136,1,1.6050143,valid
137,1,-1.7395917,valid
138,1,-0.19309224,valid
139,1,-0.31037167,valid
140,1,-1.6416056,valid
141,1,-3.4974306,valid
142,1,1.1996882,valid
143,1,-3.208686,valid
144,1,-1.5616636,valid
145,1,-0.12974389,valid
146,1,-5.023105,valid
147,1,-3.6390526,valid
148,1,-3.3313117,valid
149,1,-0.4056989,valid
150,1,-2.1298335,valid
151,1,-0.5141429,valid
152,1,-3.1399348,valid
153,1,-2.2229831,valid
154,1,-1.2687929,valid
155,1,-2.02157,valid
156,1,0.7045439,valid
157,1,-0.48864883,valid
158,1,-0.78681755,valid
159,1,-5.4524684,valid
160,1,-2.7756622,valid
161,1,-1.1977457,valid
162,1,-1.9062804,valid
163,1,-1.888378,valid
164,1,-0.7467522,valid
165,1,-0.5090567,valid
166,1,1.7107391,valid
167,1,-0.87984264,valid
168,1,-2.148322,valid
169,1,-3.3664129,valid
170,1,-2.6078806,valid
171,1,-4.1498995,valid
172,1,-2.208482,valid
173,1,-1.5638338,valid
174,1,-3.8697283,valid
175,1,-2.40525,valid
176,1,-2.0260425,valid
177,1,-3.7783966,valid
178,1,-3.4850495,valid
179,1,-1.4042959,valid
