,smiles,LogP,model
0,C=C(C)CC(O)C(O)(c1ccccc1)c1ccccc1,0.32496,pre
1,CC(c1nnc(S)n1C)N1CCC(C(N)=O)(c2ccccc2F)CC1,0.1823,pre
2,COc1ccc2c(=O)c(C=CC(=O)NCCC(=O)O)c(C)[nH]c2c1,0.144922,pre
3,COC(=O)c1sc(C(c2ccccc2)n2cc[n+](CC(=O)c3cc(OC)c(OC)c(OS(=O)(=O)F)c3)cc2)c(C#N)c1C,0.0,pre
4,O=C(NNc1nc2ccccc2c(=O)o1)c1ccc([N+](=O)[O-])cc1,0.18531,pre
5,Cc1cc(C)nc(SCC#N)c1C(=O)O,0.201232,pre
6,Cc1cc(NC(=O)NC2CCCc3ccccc32)ccc1Br,0.495662,pre
7,Cc1ccc(S(=O)(=O)Nc2cccc3c(SC(C)C)cc(C)nc23)cc1,0.515294,pre
8,CSCCC(NC(=O)c1c(C(=O)NCc2ccc3c(c2)OCO3)c(=O)oc2cc(C)ccc12)C(=O)O,0.269622,pre
9,CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1,0.26239,pre
10,CCCN(CCN1CCN(c2ccc(C(F)(F)F)cc2C)CC1)c1ccccc1,0.505242,pre
11,Cc1ccc(Oc2nc(Cl)cn(Cc3ccc(F)cc3)c2=O)cc1,0.418482,pre
12,COc1ccccc1N1C(=O)NC(NCc2ccccc2)=C1C,0.309472,pre
13,CC(=O)NCCc1nc(-c2ccc(Cl)cc2)oc1N1CCN(c2ccccc2)CC1,0.40002,pre
14,N#Cc1cc(-c2ccnc(Nc3ccccc3)n2)ccc1N1CCNCC1,0.316848,pre
15,CC(SCn1nnc(-c2ccccc2)n1)C(N)=O,0.09046,pre
16,CC(C)n1ncnc1-c1ccsc1Nc1nc(Nc2ccc(C#N)cc2)ncc1Br,0.549888,pre
17,CCC(C(=O)Nc1cncc(C(=O)c2cccc(OC)c2)c1)c1ccccc1,0.44535,pre
18,CC1CN(CCN(C)C)C(=O)c2cccnc2OC1CN(C)S(=O)(=O)c1cccs1,0.18647,pre
19,Cc1cncc(OCC2(C)NC(=O)N(CC(=O)Nc3ccc(C)cc3)C2=O)c1,0.202644,pre
20,COc1ccc(N2CCN(CCCNC(=O)c3ccc4ccccc4c3)CC2)cc1,0.37905,pre
21,CCCN(C(=O)c1cc2c(=O)n(CCCOC)c3ccccc3n2n1)c1ccc(C(F)(F)F)cc1,0.47613,pre
22,c1ccc2c(c1)nc1ssc1nn2CCCNCCO,0.10875,pre
23,O=C1NC(Cc2ccccc2)c2nc3ccc(Cl)cc3c(-c3cccc(F)c3)c2CC1NC(=O)C1(Cc2ccc(C#N)cc2)CCN1,0.598168,pre
24,Clc1ccc(C2CC3CCC2N3)cn1,0.23429,pre
25,Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c(C)n(C)c1C=Cc1ccc(N(C)C)cc1,0.630194,pre
26,N#Cc1ccc(-c2nnc3c(C(=O)Nc4ccncc4)ccnn23)cc1,0.231028,pre
27,Cc1cnc(C(=O)OCC(=O)N2c3ccccc3CC2C)cn1,0.191962,pre
28,CC(C)=CCc1cccc2[nH]c(-c3ccc(C)s3)nc12,0.510852,pre
29,Nc1nc(Br)c2ccn(N=C3NCCN3)c2n1,0.00879,pre
30,OC(c1ccc(F)cc1)c1cncnc1,0.16974,pre
31,CC(=O)NC(c1cccc(Br)c1)C(C)C,0.32823,pre
32,O=C(NCCSc1ccccn1)c1ccccc1Cl,0.32571,pre
33,CN(C)c1ccc(C=CC(=O)c2ccc(OCC3CC(c4ccccc4)=NO3)c(O)c2)cc1,0.49263,pre
34,NC(CC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O,-0.17774,pre
35,COc1cc(-c2ccc3c(c2)C2c4cc(OC)c(OC)c(OC)c4C(=O)N23)c2ccccc2c1Cl,0.62578,pre
36,Cc1ccc(C(=O)N=C(N)N)s1,0.047012,pre
37,CC(C)(O)C#Cc1cc2c(cc1F)C(COc1ccccc1)N(C(=O)OC(C)(C)C)CC2,0.48614,pre
38,CC(CCn1cncn1)N1C(=O)c2ccccc2C1=O,0.13529,pre
39,CCOc1cccc(C=CC(=O)c2cccc(Oc3ccc([N+](=O)[O-])cc3)c2)c1OC,0.56905,pre
40,COc1cccc(NC(=O)CCCn2nc(C)c3c(C)n(-c4ccccc4)nc3c2=O)c1,0.362654,pre
41,CC1(C)Oc2ccc3ccccc3c2C2CCC(C[N+](=O)[O-])(CC1)C2,0.53216,pre
42,COc1ccc(C=CC(=O)c2cc(COc3c(C)cc(CC(=O)O)cc3O)c(SC)c(OC)c2)cc1CO,0.503422,pre
43,O=C1C(=O)c2cccc3c2C(=NN=C(NCCCN2CCOCC2)C3)C(=O)N1c1nccs1,0.08698,pre
44,CCOC(=O)COc1cccc2c1C1CCC(C)(N=[N+]=[N-])C1C2,0.37472,pre
45,CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7ccccc6c7nc(N7CCO)n5n4)c3c2)CC1,0.0,pre
46,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc4c(c3)OCO4)ccc2OC1CN(C)Cc1ccc(Oc2ccccc2)cc1,0.61326,pre
47,Nc1nc(N)c2c([nH]1)ccc1c(Cl)cc(Cl)cn12,0.1332,pre
48,O=C(c1nn(C2CCOCC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,0.16613,pre
49,Nc1ccc(Sc2c(F)c(F)c(F)c(F)c2F)c2sc(-c3ccccc3)cc12,0.69972,pre
50,COC(=O)c1c(-c2cccc(OC)c2)cc(-c2ccccc2)c(-c2ccc(O)cc2)c1-c1ccc(N)cc1,0.74376,pre
51,COC(=O)C(C)NC(=O)C(=O)c1c[nH]c2ccc(Cl)cc12,0.16817,pre
52,CC(C)(C)NC(=O)C(c1ccccc1)N(Cc1cccs1)C(=O)Cn1nnc(-c2ccccc2)n1,0.40864,pre
53,CC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C(CC(C)O)Cc1ccccc1)C(C)C)C(=O)NC(CC(=O)O)C(=O)O,0.09329,pre
54,COc1ccc(NS(=O)(=O)c2cccc(C(=O)NCC(c3ccco3)N(C)C)c2)cc1,0.31217,pre
55,Cc1csc(NC(=O)c2ccc(C)nc2O)n1,0.211284,pre
56,COc1ccc(S(=O)(=O)N(CC(C)C)C(CCSCc2c(C)cccc2COC)C(=O)NO)cc1OC,0.400282,pre
57,OC(c1cc2ccccc2o1)C(F)(F)C(F)(F)C(F)(F)F,0.42991,pre
58,Cc1[nH]c(C#Cc2cccc(CS(=O)(=O)Nc3ccccc3)c2)nc1-c1ccccc1,0.472682,pre
59,CNC(=O)CSc1nc(-c2ccccc2)c(-c2ccnc(NC(C)=O)c2)n1CC1CCCO1,0.35876,pre
60,COc1ccc(C23c4ccccc4C(=O)N2CCN3C(=O)c2ccc(F)cc2)cc1,0.36472,pre
61,Cc1cc2nc(-c3cccc(-c4ccc(CN(CCCl)CCCl)cc4)c3)oc2cc1C,0.705824,pre
62,Cc1cccc(Cl)c1-n1c2nc3ccccc3cc2c(=O)n1-c1ccccc1,0.529142,pre
63,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1NC(=O)Nc1ccc(C)cc1,0.457832,pre
64,COc1ccc(C(=O)C(Cc2cccs2)c2ccccc2[N+](=O)[O-])cc1OC,0.48827,pre
65,Clc1cccc2c1CCN1CCc3ccc4ccccc4c3OC1CO2,0.46913,pre
66,Nc1ccccc1CC(=O)c1ccc(C(=O)c2ccccc2)cc1,0.39252,pre
67,Nc1nccnc1C(=O)NC1N=C(c2ccccc2F)c2ccccc2N(Cc2ccccc2)S(=O)(=O)CCCO1,0.35056,pre
68,c1cc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)ccc1-c1cccnc1,0.37951,pre
69,CC#CCOc1ccc(S(=O)(=O)N2Cc3ccc(OCC(=O)NO)cc3C2)cc1,0.16774,pre
70,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1NC(=O)c1cc2ccccc2o1,0.512274,pre
71,CN=C(S)NNC(=O)c1ccccc1,0.08366,pre
72,Cc1ccc(CN2CCC3CC(C)(C)CC3C2)o1,0.384612,pre
73,O=C(CCN1C(=O)c2ccccc2S1(=O)=O)NO,-0.02734,pre
74,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(-c4cn[nH]c4)cn3C)cn2C)cc1C(=O)NCCC#N,0.224028,pre
75,COCCn1c(NC(=O)c2ccccc2)nc2ccccc21,0.2935,pre
76,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,0.465978,pre
77,O=C(Cc1cccnc1)Nc1ccc(OC(F)F)cc1,0.28642,pre
78,Cc1cc(C(=O)O)cc(C)c1N=C1NCCN1,0.118194,pre
